created_hour,temperature_c,complaint_id
2023-01-01 02:00:00,8.35,56414530
2023-01-01 02:00:00,8.35,56413537
2023-01-01 02:00:00,8.35,56419055
2023-01-01 02:00:00,8.35,56414708
2023-01-01 03:00:00,8.9,56417092
2023-01-01 03:00:00,8.9,56417640
2023-01-01 03:00:00,8.9,56418069
2023-01-01 03:00:00,8.9,56415661
2023-01-01 03:00:00,8.9,56412588
2023-01-01 03:00:00,8.9,56418070
2023-01-01 03:00:00,8.9,56416150
2023-01-01 03:00:00,8.9,56414787
2023-01-01 03:00:00,8.9,56418058
2023-01-01 03:00:00,8.9,56415299
2023-01-01 03:00:00,8.9,56416496
2023-01-01 03:00:00,8.9,56415544
2023-01-01 03:00:00,8.9,56417241
2023-01-01 03:00:00,8.9,56412633
2023-01-01 03:00:00,8.9,56412742
2023-01-01 03:00:00,8.9,56413539
2023-01-01 03:00:00,8.9,56418907
2023-01-01 03:00:00,8.9,56417019
2023-01-01 03:00:00,8.9,56415244
2023-01-01 03:00:00,8.9,56412824
2023-01-01 03:00:00,8.9,56414373
2023-01-01 03:00:00,8.9,56419199
2023-01-01 03:00:00,8.9,56417921
2023-01-01 03:00:00,8.9,56417438
2023-01-01 04:00:00,8.600000000000001,56415186
2023-01-01 04:00:00,8.600000000000001,56416442
2023-01-01 04:00:00,8.600000000000001,56413456
2023-01-01 04:00:00,8.600000000000001,56417283
2023-01-01 04:00:00,8.600000000000001,56413884
2023-01-01 04:00:00,8.600000000000001,56419191
2023-01-01 04:00:00,8.600000000000001,56418944
2023-01-01 04:00:00,8.600000000000001,56414438
2023-01-01 04:00:00,8.600000000000001,56416934
2023-01-01 04:00:00,8.600000000000001,56416263
2023-01-01 04:00:00,8.600000000000001,56416528
2023-01-01 04:00:00,8.600000000000001,56415652
2023-01-01 04:00:00,8.600000000000001,56417997
2023-01-01 04:00:00,8.600000000000001,56412536
2023-01-01 04:00:00,8.600000000000001,56413459
2023-01-01 05:00:00,7.2,56416181
2023-01-01 05:00:00,7.2,56416549
2023-01-01 05:00:00,7.2,56412668
2023-01-01 05:00:00,7.2,56413880
2023-01-01 05:00:00,7.2,56416185
2023-01-01 05:00:00,7.2,56417862
2023-01-01 05:00:00,7.2,56413617
2023-01-01 05:00:00,7.2,56419569
2023-01-01 05:00:00,7.2,56416512
2023-01-01 06:00:00,6.7,56412739
2023-01-01 06:00:00,6.7,56412543
2023-01-01 06:00:00,6.7,56413528
2023-01-01 06:00:00,6.7,56413224
